Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
b1,default,1.1.1.0/24,ip 192.168.1.2,192.168.1.2,dynamic,bgp,0,20,
b1,default,127.0.0.3/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
b1,default,192.168.1.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
b1,default,192.168.1.1/32,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,local,0,0,
b1,default,192.168.2.0/30,interface Ethernet0 ip 192.168.3.1,192.168.3.1,Ethernet0,ospf,40,110,
b1,default,192.168.3.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
b1,default,192.168.3.2/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
b1,default,192.168.4.0/30,interface Ethernet0 ip 192.168.3.1,192.168.3.1,Ethernet0,ospf,30,110,
b1,default,192.168.5.0/30,interface Ethernet0 ip 192.168.3.1,192.168.3.1,Ethernet0,ospf,20,110,
b2,default,1.1.1.0/24,ip 192.168.2.2,192.168.2.2,dynamic,bgp,0,20,
b2,default,127.0.0.4/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
b2,default,192.168.1.0/30,interface Ethernet0 ip 192.168.4.1,192.168.4.1,Ethernet0,ospf,40,110,
b2,default,192.168.2.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
b2,default,192.168.2.1/32,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,local,0,0,
b2,default,192.168.3.0/30,interface Ethernet0 ip 192.168.4.1,192.168.4.1,Ethernet0,ospf,30,110,
b2,default,192.168.4.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
b2,default,192.168.4.2/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
b2,default,192.168.5.0/30,interface Ethernet0 ip 192.168.4.1,192.168.4.1,Ethernet0,ospf,20,110,
e1,default,1.1.1.0/24,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
e1,default,1.1.1.0/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,local,0,0,
e1,default,192.168.1.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
e1,default,192.168.1.2/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
e2,default,1.1.1.0/24,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
e2,default,1.1.1.0/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,local,0,0,
e2,default,192.168.2.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
e2,default,192.168.2.2/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
r1,default,1.1.1.0/24,ip 192.168.2.2,192.168.2.2,dynamic,ibgp,0,200,
r1,default,127.0.0.2/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
r1,default,192.168.1.0/30,interface Ethernet1 ip 192.168.3.2,192.168.3.2,Ethernet1,ospf,20,110,
r1,default,192.168.2.0/30,interface Ethernet0 ip 192.168.5.1,192.168.5.1,Ethernet0,ospf,30,110,
r1,default,192.168.3.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
r1,default,192.168.3.1/32,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,local,0,0,
r1,default,192.168.4.0/30,interface Ethernet0 ip 192.168.5.1,192.168.5.1,Ethernet0,ospf,20,110,
r1,default,192.168.5.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
r1,default,192.168.5.2/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
r2,default,1.1.1.0/24,ip 192.168.2.2,192.168.2.2,dynamic,ibgp,0,200,
r2,default,127.0.0.1/32,interface Loopback0,AUTO/NONE(-1l),Loopback0,connected,0,0,
r2,default,192.168.1.0/30,interface Ethernet0 ip 192.168.5.2,192.168.5.2,Ethernet0,ospf,30,110,
r2,default,192.168.2.0/30,interface Ethernet1 ip 192.168.4.2,192.168.4.2,Ethernet1,ospf,20,110,
r2,default,192.168.3.0/30,interface Ethernet0 ip 192.168.5.2,192.168.5.2,Ethernet0,ospf,20,110,
r2,default,192.168.4.0/30,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,connected,0,0,
r2,default,192.168.4.1/32,interface Ethernet1,AUTO/NONE(-1l),Ethernet1,local,0,0,
r2,default,192.168.5.0/30,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,connected,0,0,
r2,default,192.168.5.1/32,interface Ethernet0,AUTO/NONE(-1l),Ethernet0,local,0,0,
